 X ; Y ; Z  
-3.58381 ; -0.00772544 ; 0.0062041 
 -3.58225 ; -0.01212 ; 0.00608742 
 -3.56156 ; -0.00700387 ; 0.00921248 
 -3.58017 ; -0.00884578 ; 0.00475565 
 -3.56946 ; -0.00954266 ; 0.00752059 
 -3.58404 ; -0.0112758 ; 0.00367323 
 -3.56634 ; -0.00358658 ; 0.0103074 
 -3.56516 ; -0.0120789 ; 0.0079954 
 -3.5769 ; -0.0109956 ; 0.00911551 
 -3.57486 ; -0.00562055 ; 0.0111915 
 -3.57878 ; -0.00433169 ; 0.00924559 
 -3.55362 ; -0.0176814 ; 0.0150281 
 -3.56417 ; -0.00321094 ; 0.0101387 
 -3.56022 ; -0.00833749 ; 0.0105686 
 -3.57184 ; -0.00966733 ; 0.0112452 
 -3.57308 ; -0.012376 ; 0.00693094 
 -3.56571 ; -0.00312602 ; 0.0101901 
 -3.584 ; -0.00968639 ; 0.00612262 
 -3.57407 ; -0.00574367 ; 0.00317155 
 -3.58991 ; 8.14693e-05 ; 0.0010965 
 -3.57068 ; -0.00787199 ; 0.00924829 
 -3.55853 ; -0.00701576 ; 0.0137146 
 -3.57748 ; -0.00676192 ; 0.00585581 
 -3.57121 ; -0.00545099 ; 0.0120784 
 -3.59205 ; -0.00422527 ; 0.00474861 
 -3.55985 ; -0.00887846 ; 0.012798 
 -3.56314 ; 0.00216081 ; 0.00881377 
 -3.57539 ; -0.00527656 ; 0.0072735 
 -3.55967 ; -0.00291947 ; 0.0135142 
 -3.57558 ; 0.000457668 ; 0.0077902 
 -3.58313 ; -0.00311855 ; 0.00514757 
 -3.57765 ; -0.00867038 ; 0.00623531 
 -3.57962 ; -0.0027299 ; 0.00966151 
 -3.57264 ; -0.0038285 ; 0.0108457 
 -3.56317 ; -0.010593 ; 0.00850215 
 -3.57526 ; 0.0010878 ; 0.00756729 
 -3.58251 ; -0.00682467 ; 0.00552634 
 -3.58129 ; -0.00385204 ; 0.00625649 
 -3.56621 ; -0.0126182 ; 0.0104719 
 -3.57361 ; -0.00949994 ; 0.00669927 
 -3.58052 ; -0.00462387 ; 0.00337013 
 -1.59026 ; 0.0259269 ; 0.428017 
 -1.59231 ; 0.0238535 ; 0.427924 
 -1.58759 ; 0.0199919 ; 0.430112 
 -1.59846 ; 0.0272119 ; 0.430484 
 -1.59455 ; 0.0320426 ; 0.427804 
 -1.58115 ; 0.0249354 ; 0.427524 
 -1.58169 ; 0.0256072 ; 0.427851 
 -1.60092 ; 0.0269384 ; 0.429102 
 -1.60012 ; 0.0308023 ; 0.427468 
 -1.59975 ; 0.0259039 ; 0.42941 
 -1.58307 ; 0.023699 ; 0.43048 
 -1.60691 ; 0.0313158 ; 0.428538 
 -1.57828 ; 0.0198491 ; 0.429668 
 -1.60997 ; 0.0299884 ; 0.429377 
 -1.58146 ; 0.0255378 ; 0.431816 
 -1.55804 ; 0.0146459 ; 0.430656 
 -1.58055 ; 0.0216708 ; 0.430553 
 -1.57008 ; 0.0215906 ; 0.429534 
 -1.57146 ; 0.0229005 ; 0.429632 
 -1.61804 ; 0.0362924 ; 0.429934 
 -1.59338 ; 0.0258008 ; 0.430759 
 -1.58516 ; 0.0242215 ; 0.430813 
 -1.57919 ; 0.0243358 ; 0.431647 
 -1.58985 ; 0.031722 ; 0.430879 
 -1.57941 ; 0.0289171 ; 0.430798 
 -1.57754 ; 0.0343677 ; 0.432715 
 -1.59721 ; 0.0642892 ; 0.431031 
 -1.67076 ; 0.10705 ; 0.412847 
 -1.87087 ; 0.189153 ; 0.359895 
 -2.25211 ; 0.25837 ; 0.278937 
 -2.73259 ; 0.26114 ; 0.184508 
 -3.06317 ; 0.0265323 ; 0.124745 
 -3.2524 ; -0.0864914 ; 0.0806838 
 -3.09999 ; 0.157918 ; 0.0859027 
 -2.27376 ; 0.235057 ; 0.239976 
 -1.64893 ; 0.107008 ; 0.405435 
 -1.56456 ; 0.0539794 ; 0.432327 
 -1.56082 ; 0.0517692 ; 0.433831 
 -1.55075 ; 0.0528959 ; 0.434984 
 -1.55307 ; 0.0452302 ; 0.434229 
 -1.59519 ; 0.0655169 ; 0.432875 
 -1.56649 ; 0.0528542 ; 0.433498 
 -1.50365 ; 0.0360747 ; 0.436896 
 -1.5256 ; 0.0420407 ; 0.43371 
 -1.53552 ; 0.0423529 ; 0.435249 
 -1.55469 ; 0.0473448 ; 0.435632 
 -1.54487 ; 0.0432392 ; 0.435468 
 -1.54775 ; 0.0483407 ; 0.43553 
 -1.56215 ; 0.045623 ; 0.435142 
 -1.54267 ; 0.0444303 ; 0.431098 
 -1.54844 ; 0.0447948 ; 0.435885 
 -1.55772 ; 0.0511219 ; 0.434502 
 -1.55688 ; 0.0492016 ; 0.435136 
 -1.55955 ; 0.0514598 ; 0.433576 
 
